name,wer,bwer,time,datetime,comment,task,subtask,position,cluster_wer,cluster_bwer
translatotron,104.6802,104.6387,0,2025-12-10 08:49:54.639861,,ocr,ende,1,1,1
cascade,113.4601,112.2370,0,2025-12-10 08:49:54.590638,,ocr,ende,2,2,2
