name,ssim,time,datetime,comment,fid,task,subtask,position,cluster_ssim
anytext,0.4608,0,2025-12-03 09:23:26.502459,,120.3690,img,de-en,1,1
gen_step,0.3827,0,2025-12-03 09:28:22.872798,,147.7878,img,de-en,2,2
